-1281.4352	325.5149	131.7999	568.7615	2320.3069	1800.0344
-1328.4107	325.5149	131.7999	568.7615	2773.0033	2707.3722
-1744.9297	-304.7419	-156.5277	-580.3945	-2218.666	-1846.4311
-1791.9052	-304.7419	-156.5277	-580.3945	-2761.6189	-2677.9477
-1379.9823	19.1402	312.7861	5.8757	3684.6066	2.6099
-1426.9578	19.1402	312.7861	5.8757	4523.5484	21.1056
-1646.3827	1.6328	-337.5139	-17.5087	-3582.9657	-49.0066
-1693.3582	1.6328	-337.5139	-17.5087	-4512.164	8.3189
-2227.7089	26.1814	304.6909	1.5618	3717.517	-12.902
-2290.3429	26.1814	304.6909	1.5618	4526.9115	31.2943
-2494.1093	8.674	-345.609	-21.8226	-3550.0554	-64.5186
-2556.7433	8.674	-345.609	-21.8226	-4508.801	18.5076
-2129.1619	332.5561	123.7047	564.4476	2353.2173	1784.5225
-2191.7959	332.5561	123.7047	564.4476	2776.3663	2717.5609
-2592.6563	-297.7007	-164.6228	-584.7083	-2185.7557	-1861.943
-2655.2903	-297.7007	-164.6228	-584.7083	-2758.2558	-2667.759
-2574.0159	19.5848	-22.8458	-11.5452	93.5888	-43.408
-2636.6499	19.5848	-22.8458	-11.5452	10.2018	28.0767
-2353.8394	16.1567	-19.2327	-9.0479	79.054	-36.0863
-2426.9124	16.1567	-19.2327	-9.0479	8.8545	22.8857
-1281.4352	332.5561	312.7861	568.7615	3717.517	1800.0344
-1328.4107	332.5561	312.7861	568.7615	4526.9115	2717.5609
-2592.6563	-304.7419	-345.609	-584.7083	-3582.9657	-1861.943
-2655.2903	-304.7419	-345.609	-584.7083	-4512.164	-2677.9477
-2211.9864	15.669	-18.4798	-8.9104	76.6286	-34.9173
-2274.6204	15.669	-18.4798	-8.9104	9.1773	22.2745
-1281.4352	304.7419	131.7998	580.3945	2320.307	1846.4311
-1328.4107	304.7419	131.7998	580.3945	2773.0033	2677.9477
-1744.9297	-325.5149	-156.5276	-568.7615	-2218.6661	-1800.0344
-1791.9052	-325.5149	-156.5276	-568.7615	-2761.6188	-2707.3722
-1379.9823	-1.6328	312.7861	17.5087	3684.6066	49.0066
